status,polling_unit_code,presiding_officer_name_present,presiding_officer_signature_present,polling_agent_signature_present,black_stamp
exist and not blur,19/15/10/016,1.0,1.0,1.0,0
exist and not blur,19/31/06/007,0.0,0.0,0.0,0
exist and not blur,09/06/04/007,1.0,1.0,1.0,0
exist and not blur,20/05/03/011,1.0,1.0,1.0,0
exist and not blur,19/31/03/054,0.0,1.0,1.0,1
exist and not blur,19/04/03/019,0.0,1.0,1.0,1
exist and not blur,20/19/03/018,1.0,1.0,1.0,0
exist and not blur,13/13/03/009,0.0,0.0,1.0,0
exist and not blur,20/21/11/005,1.0,1.0,1.0,0
exist and not blur,20/10/02/005,0.0,1.0,1.0,1
exist and not blur,20/10/09/004,0.0,1.0,1.0,1
exist and not blur,16/18/05/008,1.0,1.0,1.0,0
exist and not blur,19/31/05/093,1.0,0.0,1.0,1
exist and not blur,16/02/05/008,0.0,1.0,1.0,1
exist and not blur,09/16/05/005,1.0,1.0,1.0,0
exist and not blur,19/14/03/016,1.0,0.0,1.0,1
exist and not blur,19/19/06/011,1.0,1.0,1.0,0
exist and not blur,20/16/01/003,1.0,1.0,1.0,0
exist and not blur,16/22/04/005,1.0,1.0,0.0,1
exist and not blur,20/32/10/003,1.0,1.0,0.0,1
exist and not blur,16/09/09/015,1.0,0.0,1.0,1
exist and not blur,09/11/03/056,0.0,1.0,1.0,1
exist and not blur,20/24/09/016,1.0,1.0,0.0,0
exist and not blur,13/03/10/006,1.0,1.0,1.0,0
exist and not blur,20/10/04/012,0.0,1.0,1.0,0
exist and not blur,19/08/08/011,0.0,1.0,1.0,1
exist and not blur,19/04/12/003,1.0,1.0,1.0,0
exist and not blur,13/14/10/009,1.0,0.0,1.0,0
exist and not blur,36/09/06/018,0.0,1.0,1.0,1
exist and not blur,14/03/07/015,1.0,1.0,1.0,0
exist and not blur,13/10/10/003,0.0,1.0,1.0,1
exist and not blur,19/18/10/007,0.0,1.0,1.0,1
exist and not blur,09/01/07/002,1.0,1.0,1.0,0
exist and not blur,13/03/02/007,1.0,0.0,1.0,1
exist and not blur,01/07/04/001,1.0,0.0,1.0,1
exist and not blur,13/11/08/014,1.0,1.0,1.0,0
exist and not blur,01/11/03/096,1.0,1.0,0.0,1
exist and not blur,19/05/05/001,1.0,1.0,1.0,0
exist and not blur,14/04/12/046,1.0,1.0,1.0,0
exist and not blur,13/05/08/003,1.0,1.0,1.0,0
exist and not blur,19/27/10/003,1.0,1.0,1.0,0
exist and not blur,19/16/03/020,0.0,1.0,1.0,1
exist and not blur,19/32/10/011,1.0,1.0,1.0,0
